prior	after smooth	after rf
-2.227522989	-0.361216737	-0.558582583
-4.394182985	-0.349527764	-0.224983388
-3.629186433	-0.418290727	-0.265523679
-4.612109933	0.08421683	-0.004432465
-4.370410247	0.436672382	-0.572040821
-6.901599384	0.564641302	0.619284009
-3.248436994	-0.101844699	0.005443953
-3.082759366	0.011073286	-0.166047589
-3.739155372	0.391681324	0.177172581
-4.259524123	-1.289430167	-0.040093364
-4.169709843	0.130532252	-0.702623624
-5.354609703	-0.234391973	-0.55205478
-2.046554289	2.594223747	0.742236239
-3.537683894	0.572176231	0.51005424
-4.326211778	-0.857709845	0.094011244
-4.107939302	0.325423536	0.228223764
-2.854228851	0.144952931	0.316037401
-4.201338007	1.02053744	-0.814733235
-5.768598194	-0.708232159	0.237476078
-3.088854288	0.669250766	1.435336529
-4.12219222	1.955481418	0.169619236
-4.192124895	-1.549112047	-0.759802575
-3.95417529	-0.122330863	-0.195729381
-4.038486064	-0.048757112	0.323569927
-1.720753371	1.322430831	0.732913473
-4.698375394	0.234810356	-0.042145449
-4.254396528	-0.219836934	0.424336407
-4.373396767	0.069974348	0.192429458
-4.213537978	-0.551590426	-0.265580576
-4.373396767	0.075805544	-0.046649566
-5.209456216	-0.960528803	-0.536766096
-5.470326951	-1.333634673	-0.863225352
-4.193602082	-0.526061326	-0.05459127
-5.605917242	1.405528128	1.068201377
-2.169955428	-0.9538547	-0.262714218
-1.930841882	-0.285307482	-0.385165101
-4.044459143	-0.520901874	-0.602292792
-4.279830189	1.416747759	1.637927789
-3.456031527	0.121218728	0.15152341
-4.269693543	-0.357595248	-0.096974982
-0.352521191	0.842714712	0.313568265
-3.456031527	-0.677229801	0.009341101
-4.430197631	-0.054919911	-0.290290957
-3.733897572	-0.203780828	-0.349338563
-3.862545143	-0.003922851	0.200065389
-4.311425577	2.094390604	0.739603283
-3.974305294	0.494279197	-0.058842761
-4.66774174	-0.795772765	0.06532463
-5.070415015	0.322267974	0.541783841
-3.456031527	-0.388362226	0.215756792
-0.662862731	-0.688877916	0.61196472
-0.89330348	-0.711954562	0.409763588
-3.667204606	0.039228508	-0.760339823
-4.668651898	-0.475469554	-0.553121958
-3.381076808	-0.534474245	-0.025840737
-4.096396302	-0.206643329	-0.314745944
-4.696815039	0.086302717	-0.287004624
-4.289447588	1.812142718	0.113762672
-4.668651898	0.348122154	-0.371966137
-4.239460201	-0.743932274	-1.864599481
-3.953332404	-0.023843983	0.021696718
-4.08673156	-0.081069543	-0.739163477
-4.096396302	0.399623969	-1.678616413
-4.473865056	-0.216778534	-0.085838339
-4.096396302	0.281359001	-0.13320799
-3.381076808	-0.271821408	-0.027673855
-4.096396302	-0.052456763	-2.150727279
-4.496405768	-0.300434187	-0.939452936
-4.3825241	0.267052611	-0.82023302
-3.677190114	0.166510159	-0.290896594
-5.228176155	0.982372105	-0.5302034
1.008980399	-0.214595848	-0.038150373
-5.148833551	1.239887123	-0.081069543
-4.783757828	-0.804184408	-0.462573273
-4.759903129	0.329046967	-0.733573094
-3.896106844	0.286127798	-0.376734934
-3.896106844	-0.472110866	-0.734394681
-3.323076831	0.259134209	0.02861278
-4.759405474	-0.987335425	0.283813658
-4.162377621	3.4179211	-0.035212491
-4.199475418	-0.890515922	1.078347801
-1.988588193	-0.306670337	-0.669667974
-4.240088834	-0.184551063	-0.326846017
-3.13014402	0.218336191	0.752774075
-5.040618034	-0.673397148	0.221390843
